,id,name,age,number,position,photo,batch_timestamp
1826,129131,T. Raschl,23.0,20.0,Midfielder,https://media.api-sports.io/football/players/129131.png,2024-07-17 18:47:00.319113
1827,47468,Rochina,32.0,23.0,Midfielder,https://media-1.api-sports.io/football/players/47468.png,2023-08-14 18:30:12.353863
1828,182166,Isma Ruiz,22.0,,Midfielder,https://media-1.api-sports.io/football/players/182166.png,2023-08-14 18:30:12.353863
1829,48203,J. Larsson,26.0,11.0,Attacker,https://media.api-sports.io/football/players/48203.png,2024-07-16 18:40:47.829793
1830,1274,A. Cornelius,30.0,14.0,Attacker,https://media.api-sports.io/football/players/1274.png,2024-07-16 18:40:47.829793
1831,30540,K. Babacar,30.0,,Attacker,https://media.api-sports.io/football/players/30540.png,2024-07-16 18:40:47.829793
1832,24833,M. Ritter,29.0,7.0,Midfielder,https://media.api-sports.io/football/players/24833.png,2024-07-17 18:47:00.319113
1833,25462,J. Zimmer,30.0,8.0,Midfielder,https://media.api-sports.io/football/players/25462.png,2024-07-17 18:47:00.319113
1834,194682,D. Abiama,25.0,40.0,Attacker,https://media.api-sports.io/football/players/194682.png,2024-07-17 18:47:00.319113
1835,37439,R. Ache,25.0,9.0,Attacker,https://media.api-sports.io/football/players/37439.png,2024-07-17 18:47:00.319113
1836,278069,T. King,20.0,51.0,Midfielder,https://media.api-sports.io/football/players/278069.png,2022-05-07 18:30:48.158066
1837,1558,Joel Robles,33.0,,Goalkeeper,https://media.api-sports.io/football/players/1558.png,2024-03-29 18:30:36.100312
1838,1689,Álvaro González,33.0,,Defender,https://media.api-sports.io/football/players/1689.png,2024-03-29 18:30:36.100312
1839,25913,A. Hack,30.0,,Defender,https://media.api-sports.io/football/players/25913.png,2024-03-29 18:30:36.100312
1840,348328,Jesús López,21.0,28.0,Goalkeeper,https://media-1.api-sports.io/football/players/348328.png,2023-08-14 18:30:12.457224
1841,47304,Kévin Rodrigues,29.0,,Defender,https://media.api-sports.io/football/players/47304.png,2024-03-29 18:30:36.100312
1842,162150,N. John,20.0,43.0,Midfielder,https://media-3.api-sports.io/football/players/162150.png,2023-05-28 18:30:12.066845
1843,25304,G. Teigl,32.0,39.0,Defender,https://media.api-sports.io/football/players/25304.png,2024-07-07 18:46:22.212027
1844,458,M. Diagne,32.0,,Attacker,https://media.api-sports.io/football/players/458.png,2024-03-29 18:30:36.100312
1845,266725,A. Ranieri,20.0,44.0,Midfielder,https://media-3.api-sports.io/football/players/266725.png,2023-08-14 18:30:12.321992
1846,30930,Lucas Felippe,23.0,,Midfielder,https://media-2.api-sports.io/football/players/30930.png,2023-08-14 18:30:12.321992
1847,384664,M. Fiorenza,20.0,73.0,Goalkeeper,https://media-1.api-sports.io/football/players/384664.png,2023-08-14 18:30:12.321992
1848,19089,S. Moore,33.0,,Goalkeeper,https://media.api-sports.io/football/players/19089.png,2024-07-17 18:47:02.115907
1849,169282,N. Huggins,23.0,2.0,Defender,https://media.api-sports.io/football/players/169282.png,2024-07-17 18:47:02.115907
1850,162067,T. Pembélé,21.0,6.0,Defender,https://media.api-sports.io/football/players/162067.png,2024-07-17 18:47:02.115907
1851,297187,L. Hjelde,20.0,33.0,Defender,https://media.api-sports.io/football/players/297187.png,2024-07-17 18:47:02.115907
1852,141133,A. Alese,22.0,42.0,Defender,https://media.api-sports.io/football/players/141133.png,2024-07-17 18:47:02.115907
1853,22259,S. Prcić,30.0,14.0,Midfielder,https://media.api-sports.io/football/players/22259.png,2024-04-16 18:38:00.667489
1854,264473,Reinaldo Radu,,,Unknown,https://media.api-sports.io/football/players/264473.png,2022-03-13 16:50:32.623255
1855,181868,Manuel Sánchez,,,Unknown,https://media.api-sports.io/football/players/181868.png,2022-03-13 16:50:32.623255
1856,25211,K. Kerschbaumer,31.0,7.0,Midfielder,https://media.api-sports.io/football/players/25211.png,2024-07-07 18:46:23.989267
1857,47521,P. Roberts,26.0,10.0,Midfielder,https://media.api-sports.io/football/players/47521.png,2024-07-17 18:47:02.115907
1858,284414,R. Mundle,20.0,14.0,Midfielder,https://media.api-sports.io/football/players/284414.png,2024-07-17 18:47:02.115907
1859,137129,A. Aouchiche,21.0,22.0,Midfielder,https://media.api-sports.io/football/players/137129.png,2024-07-17 18:47:02.115907
1860,24811,A. Modeste,35.0,,Attacker,https://media.api-sports.io/football/players/24811.png,2024-07-15 18:30:34.440536
